NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
555.711;5;968;1,0000;3,1000;Un;0,0000;0,0000;00;5102;0,0000
555.712;1;213;1,0440;19,6800;Kg;0,0000;0,0000;00;5102;0,0000
555.712;2;110;1,0100;35,6500;Kg;12,0000;0,0000;00;5102;0,0000
555.712;3;106;0,6260;28,6800;Kg;18,0000;0,0000;20;5102;33,3300
555.042;1;113;6,0000;16,9000;Un;18,0000;0,0000;20;5102;33,3300
555.042;2;170;5,0000;32,9400;Kg;12,0000;0,0000;00;5102;0,0000
555.713;1;1.947;12,5500;21,8000;Kg;18,0000;0,0000;20;5202;33,3300
555.044;1;155;2,0000;34,9800;Kg;18,0000;0,0000;20;5102;33,3300
555.044;2;215;1,0280;37,9000;Kg;0,0000;0,0000;60;5405;0,0000
555.044;3;250;0,5140;74,9000;Kg;0,0000;0,0000;60;5405;0,0000
555.044;4;709;1,0160;59,9000;Kg;0,0000;0,0000;00;5102;0,0000
555.044;5;122;1,0320;37,9000;Kg;12,0000;0,0000;00;5102;0,0000
555.044;6;110;1,0220;39,9000;Kg;12,0000;0,0000;00;5102;0,0000
555.044;7;108;3,0000;16,0000;Un;18,0000;0,0000;20;5102;33,3300
555.045;1;374;3,0000;5,2900;Lt;18,0000;0,0000;20;5102;12,0000
555.046;1;684;3,0000;22,2300;Un;18,0000;0,0000;20;5102;33,3300
555.046;2;170;5,0000;32,9400;Kg;12,0000;0,0000;00;5102;0,0000
555.046;3;312;1,0000;22,4300;Kg;18,0000;0,0000;20;5102;33,3300
555.714;1;254;3,1200;102,3500;Kg;0,0000;0,0000;60;5405;0,0000
555.049;1;113;1,0000;16,9000;Un;18,0000;0,0000;20;5102;33,3300
555.049;2;221;0,8000;32,7600;Kg;0,0000;0,0000;60;5405;0,0000
555.049;3;319;1,0000;44,0800;Bd;18,0000;0,0000;20;5102;33,3300
555.049;4;505;2,1900;21,2800;Kg;18,0000;0,0000;20;5102;61,1100
555.049;5;507;2,2900;20,7000;Kg;18,0000;0,0000;20;5102;61,1100
555.049;6;506;2,1500;11,6400;Kg;18,0000;0,0000;20;5102;61,1100
555.049;7;503;5,0000;44,2800;Kg;18,0000;0,0000;20;5102;61,1100
555.049;8;108;5,0000;16,0000;Un;18,0000;0,0000;20;5102;33,3300
555.049;9;267;1,0000;26,7400;Un;18,0000;0,0000;20;5102;33,3300
555.049;10;1.410;8,0000;6,5000;Un;0,0000;0,0000;00;5102;0,0000
555.049;11;155;1,0000;34,9800;Kg;18,0000;0,0000;20;5102;33,3300
555.050;1;314;2,0000;84,9600;Un;18,0000;0,0000;20;5102;33,3300
555.050;2;480;1,0000;28,0800;Bd;18,0000;0,0000;00;5102;0,0000
555.050;3;302;2,0000;42,7700;Bd;18,0000;0,0000;20;5102;33,3300
555.050;4;491;1,0000;25,4900;Bd;18,0000;0,0000;20;5102;33,3300
555.715;1;375;2,0000;64,3500;Un;18,0000;0,0000;20;5102;33,3300
555.715;2;153;2,4600;66,9900;Kg;18,0000;0,0000;20;5102;33,3300
555.051;1;121;0,5500;31,0000;Kg;18,0000;0,0000;20;5102;33,3300
555.051;2;839;1,0000;9,9900;Un;0,0000;0,0000;60;5405;0,0000
555.051;3;497;0,1100;66,0000;Kg;18,0000;0,0000;20;5102;33,3300
555.051;4;1.491;1,0000;2,5000;Un;0,0000;0,0000;00;5102;0,0000
555.051;5;1.234;0,2880;52,9000;Kg;12,0000;0,0000;00;5102;0,0000
555.051;6;427;0,2000;11,5000;Kg;18,0000;0,0000;20;5102;33,3300
555.051;7;473;0,1540;22,9000;Kg;18,0000;0,0000;20;5102;33,3300
555.052;1;497;0,1760;64,9000;Kg;18,0000;0,0000;20;5102;33,3300
555.053;1;110;2,7800;35,6500;Kg;12,0000;0,0000;00;5102;0,0000
555.053;2;224;2,5000;20,7400;Kg;0,0000;0,0000;00;5102;0,0000
555.054;1;442;1,0000;27,9300;Bd;0,0000;0,0000;00;5102;0,0000
555.055;1;453;1,0000;27,3700;Un;0,0000;0,0000;00;5102;0,0000
555.055;2;125;3,0000;48,2600;Un;18,0000;0,0000;20;5102;33,3300
555.055;3;129;1,0000;30,5100;Un;18,0000;0,0000;20;5102;33,3300
555.056;1;465;2,0000;52,7000;Un;0,0000;0,0000;00;5102;0,0000
555.057;1;453;1,0000;27,3700;Un;0,0000;0,0000;00;5102;0,0000
555.057;2;125;3,0000;48,2600;Un;18,0000;0,0000;20;5102;33,3300
555.057;3;129;1,0000;30,5100;Un;18,0000;0,0000;20;5102;33,3300
555.058;1;121;1,0000;30,9400;Kg;18,0000;0,0000;20;5102;33,3300
555.059;1;194;12,1500;56,1800;Kg;12,0000;3,0000;00;5102;0,0000
555.059;2;164;11,3000;64,8800;Kg;18,0000;3,0000;20;5102;33,3300
555.059;3;290;4,0000;25,0500;Kg;18,0000;3,0000;20;5102;33,3300
555.059;4;469;3,0000;59,0000;Kg;18,0000;3,0000;00;5102;0,0000
555.059;5;170;20,0000;32,9400;Kg;12,0000;3,0000;00;5102;0,0000
555.060;1;1.028;7,0000;21,5000;Un;18,0000;0,0000;20;5102;33,3300
555.060;2;121;1,0500;30,9400;Kg;18,0000;0,0000;20;5102;33,3300
555.061;1;100;16,8000;34,1600;Kg;12,0000;3,0000;00;5102;0,0000
555.061;2;215;3,5000;23,4000;Kg;0,0000;3,0000;60;5405;0,0000
555.061;3;124;2,0000;16,4700;Un;18,0000;3,0000;20;5102;33,3300
555.061;4;919;5,0000;39,0000;Kg;18,0000;3,0000;00;5102;0,0000
555.061;5;224;5,0000;20,7400;Kg;0,0000;3,0000;00;5102;0,0000
555.062;1;1.028;7,0000;21,5000;Un;18,0000;0,0000;20;5102;33,3300
555.062;2;121;1,0500;30,9400;Kg;18,0000;0,0000;20;5102;33,3300
555.063;1;1.028;1,0000;21,5000;Un;18,0000;0,0000;20;5102;33,3300
555.063;2;121;1,0500;30,9400;Kg;18,0000;0,0000;20;5102;33,3300
555.898;1;128;12,0000;16,6600;Un;18,0000;3,0000;20;5102;12,0000
555.898;2;661;5,0000;21,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;3;483;10,0000;20,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;4;253;5,0000;61,9000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;5;469;10,0000;50,0000;Kg;18,0000;3,0000;00;5102;0,0000
555.898;6;1.303;12,0000;19,5000;Un;0,0000;3,0000;00;5102;0,0000
555.898;7;910;20,0000;8,9900;Un;0,0000;3,0000;60;5405;0,0000
555.898;8;478;10,0000;74,8000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;9;569;4,0000;30,5000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;10;312;10,0000;19,5000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;11;712;16,0000;21,5000;Kg;18,0000;3,0000;20;5102;61,1100
555.898;12;362;20,0000;35,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;13;484;10,0000;43,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;14;470;10,0000;48,0000;Kg;18,0000;3,0000;20;5102;12,0000
555.898;15;2.283;5,0000;15,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;16;516;10,0000;15,7000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;17;476;48,0000;5,6000;Un;0,0000;3,0000;60;5405;0,0000
555.898;18;477;48,0000;7,7000;Un;0,0000;3,0000;60;5405;0,0000
555.898;19;799;12,0000;16,3000;Un;0,0000;3,0000;60;5405;0,0000
555.898;20;169;6,3000;60,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;21;445;10,0000;17,0000;Un;18,0000;3,0000;20;5102;33,3300
555.898;22;499;25,0000;6,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;23;316;20,0000;12,5000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;24;497;20,0000;55,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;25;490;12,5000;18,0000;Kg;0,0000;3,0000;00;5102;0,0000
555.898;26;508;5,0000;7,5000;Kg;18,0000;3,0000;20;5102;61,1100
555.898;27;650;6,0000;19,0000;Un;0,0000;3,0000;00;5102;0,0000
555.898;28;450;12,0000;10,9000;Un;0,0000;3,0000;60;5405;0,0000
555.898;29;325;25,0000;50,0000;Kg;18,0000;3,0000;20;5102;33,3300
555.898;30;471;20,0000;18,0000;Un;0,0000;3,0000;60;5405;0,0000
